Pressure (Gpa),Temperature (K),Volume (cm^3/g)
0.198,151.7,1.01247
0.367,167.35,0.98653
0.411,171.85,0.97987
0.62,189.2,0.95211
0.985,219.5,0.91933
1.215,236,0.90538
1.645,266.99,0.88772
1.86,280,0.87994
2.05,296,0.87246
2.17,300,0.86974
2.42,315,0.86063
2.51,322,0.85749
2.72,339,0.85042
2.83,343.7,0.8469
3.09,359.2,0.83872
3.13,361.8,0.83742
3.41,375.4,0.82939
3.57,379.2,0.82526
3.61,383.9,0.82352
3.82,391.6,0.81701
3.84,394.8,0.81608
3.9,398.6,0.81453
4.12,410.7,0.80855
4.32,423,0.80349
4.39,430.4,0.80069
4.55,435,0.79688
