Pressure (Gpa),Temperature (K),Volume (cm^3/g),Log tauCD (ps),Error,Source
0.0001,139.7289654,1.04912,7.29666519,-3.49635,
0.0001,138.7293019,1.05029,7.724153127,-1.89093,
0.0001,137.853729,1.05133,8.183743288,0.135631,
0.0001,136.8804102,1.05249,8.595832029,0.678373,
0.0001,135.921372,1.05365,9.055445384,1.37885,
0.0001,134.7665953,1.05505,9.562629742,1.12525,
0.0001,133.8370527,1.05617,10.03808464,1.13242,
0.0001,132.9210518,1.05729,10.57690568,1.34019,
0.0001,131.7171969,1.05877,11.14612804,-0.404709,
0.0001,130.8306687,1.05987,11.74973632,-0.641289,
0.0001,129.761393,1.0612,12.33645973,-2.87175,
