LogT,LogV,
2.271841607,-0.062051077,
2.307923704,-0.039245393,
2.326540669,-0.023827472,
2.349860082,-0.01157247,
2.352182518,-0.010047675,
2.377488383,0.007670049,
2.387318625,0.013992289,
2.402261382,0.021982612,
2.416640507,0.023958503,
2.420318885,0.029732985,
2.423245874,0.029948414,
2.422917981,0.031692475,
2.440436766,0.034881517,
2.455149521,0.038360516,
2.457881897,0.040190088,
2.472024698,0.043615476,
2.472756449,0.043756757,
2.489170694,0.046602212,
2.491361694,0.048793248,
2.498723971,0.048308741,
2.504742636,0.049915139,
2.513537208,0.051930386,
2.515608949,0.055119946,
2.528788192,0.059035236,
2.532117116,0.060199792,
2.536305872,0.060890405,
