T (K),P (GPa),log10_tau_exp,log10_tau_model,percent_error,T (K),P (GPa),log10_tau_exp_TGP,log10_tau_model_TGP,percent_error_TGP,,
293,0.0001,0.748,0.955959997,27.80213858,127,0.0001,14.7,16.37000139,11.36055368,,3.29681
293,0.26,1.46,1.406730874,-3.64857026,151.7,0.198,14.7,12.50852843,-14.90796989,dzero,3.29681
293,0.455,1.9,1.843430175,-2.977359228,167.35,0.367,14.7,13.71663134,-6.689582701,done,0.0558285
293,0.65,2.63,2.392003564,-9.049294138,171.85,0.411,14.7,13.55446256,-7.792771685,dtwo,0.00342788
293,0.0001,1.041392685,0.955959997,-8.203695843,189.2,0.62,14.7,15.18425242,3.294234117,tzero,116.695
263,0.0001,1.278753601,1.15199388,-9.912755747,219.5,0.985,14.7,15.35685938,4.46843113,tone,9.88321
242,0.0001,1.51851394,1.345073004,-11.42175459,236,1.215,14.7,15.91246544,8.248064226,ttwo,-0.199798
222,0.0001,1.770852012,1.600559307,-9.616427813,266.99,1.645,14.7,15.07544141,2.554023164,tthree,0.00162822
202,0.0001,2.206825876,1.975858471,-10.46604572,280,1.86,14.7,15.25116835,3.749444561,yScale,10
182,0.0001,2.818225894,2.581067118,-8.415179791,296,2.05,14.7,13.68912564,-6.8766963,,
162,0.0001,4.012837225,3.720733947,-7.279220691,300,2.17,14.7,14.60631126,-0.637338373,,
348.15,0.21,1.1,0.968214581,-11.98049264,315,2.42,14.7,14.2942411,-2.760264631,,
348.15,0.32,1.35,1.112504682,-17.59224575,322,2.51,14.7,13.76459387,-6.363306992,,
348.15,0.39,1.46,1.211820418,-16.99860151,339,2.72,14.7,12.62054288,-14.14596683,,
348.15,0.54,1.69,1.446354462,-14.41689572,343.7,2.83,14.7,12.86586941,-12.47707887,,
348.15,0.66,1.94,1.657536084,-14.55999567,359.2,3.09,14.7,12.62188023,-14.13686918,,
348.15,0.78,2.18,1.892060631,-13.20822795,361.8,3.13,14.7,12.55359722,-14.60137948,,
302.41,1.809,9.51,9.041170571,-4.929857298,375.4,3.41,14.7,12.76947085,-13.13285137,,
304.34,1.796,9.27,8.639128725,-6.805515368,379.2,3.57,14.7,13.44942177,-8.507334882,,
306.16,1.851,9.03,8.951775662,-0.866271736,383.9,3.61,14.7,13.07703576,-11.04057304,,
307.98,1.814,8.87,8.350290199,-5.85918603,391.6,3.82,14.7,13.55809799,-7.76804089,,
309.87,1.813,8.66,8.115531793,-6.287161748,394.8,3.84,14.7,13.27147348,-9.717867455,,
311.65,1.823,8.45,8.001572762,-5.306831217,398.6,3.9,14.7,13.20207037,-10.18999747,,
294.55,1.864,11.8,11.0952531,-5.972431397,410.7,4.12,14.7,13.21973268,-10.0698457,,
296.95,1.857,11.3,10.51754985,-6.924337646,423,4.32,14.7,13.14120973,-10.60401544,,
298.8,1.866,11,10.28970218,-6.457252933,430.4,4.39,14.7,12.81010302,-12.85644201,,
300.65,1.834,10.7,9.587105395,-10.40088416,435,4.55,14.7,13.35299077,-9.163328065,,
302.5,1.888,10.4,9.914249065,-4.670682067,,,,,,,
304.35,1.875,10.2,9.470678088,-7.150214828,,,,,,,
306.15,1.879,9.96,9.245139752,-7.177311728,,,,,,,
308.05,1.862,9.71,8.806113778,-9.308817944,,,,,,,
309.77,1.889,9.54,8.844122374,-7.294314741,,,,,,,
311.55,1.896,9.32,8.680475937,-6.861846169,,,,,,,
313.35,1.904,9.09,8.530530061,-6.154784803,,,,,,,
315.15,1.931,8.83,8.557685394,-3.083970619,,,,,,,
317.05,1.876,8.68,7.865635802,-9.382076019,,,,,,,
319.05,1.92,8.43,8.016873475,-4.90067052,,,,,,,
320.59,1.87,8.23,7.462781512,-9.322217348,,,,,,,
322.33,1.875,8.02,7.3377013,-8.507465091,,,,,,,
324.15,1.883,7.85,7.231951993,-7.873223016,,,,,,,
326.05,1.904,7.68,7.215290921,-6.050899462,,,,,,,
329.73,1.883,7.41,6.767604907,-8.669299501,,,,,,,
294.57,2.013,13.2,13.4547152,1.929660621,,,,,,,
298.81,1.998,12.6,12.10600537,-3.920592308,,,,,,,
300.7,2.036,12.3,12.22663603,-0.596455048,,,,,,,
302.51,2.034,12,11.78630566,-1.780786139,,,,,,,
304.45,2.018,11.8,11.16606516,-5.372329141,,,,,,,
306.15,2.037,11.5,11.07663271,-3.681454708,,,,,,,
309.73,2.042,11,10.48270268,-4.702702943,,,,,,,
311.61,2.044,10.6,10.18970504,-3.870707206,,,,,,,
313.41,2.046,10.4,9.925508135,-4.562421778,,,,,,,
315.22,2.062,10.1,9.817066838,-2.801318436,,,,,,,
317.01,2.067,9.9,9.605154968,-2.978232647,,,,,,,
318.77,2.044,9.7,9.14193552,-5.753242067,,,,,,,
320.73,2.043,9.43,8.88269312,-5.80389056,,,,,,,
322.26,2.087,9.25,9.086127503,-1.771594564,,,,,,,
324.15,2.045,9.09,8.494615256,-6.549887177,,,,,,,
327.81,2.054,8.63,8.169539554,-5.335578745,,,,,,,
329.7,2.062,8.44,8.037711232,-4.766454596,,,,,,,
348.15,2.127,7.15,6.902907575,-3.455838118,,,,,,,
348.15,2.206,7.46,7.378887797,-1.087294944,,,,,,,
348.15,2.52,10.1,9.529818913,-5.645357292,,,,,,,
348.15,2.492,9.79,9.320347024,-4.797272479,,,,,,,
348.15,2.643,11,10.493503,-4.604518221,,,,,,,
348.15,2.4,9.2,8.657085714,-5.901242234,,,,,,,
348.15,2.314,8.43,8.0707906,-4.261084228,,,,,,,
348.15,2.935,14.5,13.08423729,-9.763880772,,,,,,,
348.15,2.865,13.2,12.42222507,-5.892234291,,,,,,,
348.15,2.831,12.9,12.11027581,-6.121892938,,,,,,,
348.15,2.678,11.4,10.78101974,-5.4296514,,,,,,,
348.15,1.997,5.86,6.17265199,5.335358193,,,,,,,
348.15,2.78,11.8,11.65382315,-1.238786856,,,,,,,
320.4,2.334,11.97553904,11.92621443,-0.411877993,,,,,,,
324.98,2.352,11.29689173,11.28588126,-0.097464635,,,,,,,
334.18,2.332,9.940132747,9.716263338,-2.252177258,,,,,,,
338.75,2.352,9.366916135,9.317298985,-0.52970635,,,,,,,
343.25,2.335,8.865969065,8.690059954,-1.98409344,,,,,,,
347.67,2.327,8.360034514,8.201534218,-1.895928725,,,,,,,
351.9,2.348,7.853701156,7.961310102,1.370168589,,,,,,,
356.46,2.348,7.339464508,7.586199607,3.361758875,,,,,,,
356.62,2.348,7.227675309,7.573678674,4.787201288,,,,,,,
361.25,2.348,6.941576597,7.228441083,4.132555218,,,,,,,
343.15,2.446,9.616845185,9.542528349,-0.772777715,,,,,,,
347.65,2.456,9.245616864,9.109796178,-1.469027839,,,,,,,
351.95,2.473,8.421329155,8.785661052,4.326299216,,,,,,,
356.49,2.47,7.886102947,8.337326038,5.721749944,,,,,,,
361.15,2.423,7.753244162,7.662693775,-1.167903205,,,,,,,
363.93,2.423,7.363409019,7.453648917,1.225517927,,,,,,,
139.7289654,0.0001,7.29666519,7.319773991,0.316703591,,,,,,,
138.7293019,0.0001,7.724153127,7.652010265,-0.933990566,,,,,,,
137.853729,0.0001,8.183743288,7.968807353,-2.626376796,,,,,,,
136.8804102,0.0001,8.595832029,8.353242909,-2.822171479,,,,,,,
135.921372,0.0001,9.055445384,8.770128587,-3.150775966,,,,,,,
134.7665953,0.0001,9.562629742,9.330847305,-2.42383574,,,,,,,
133.8370527,0.0001,10.03808464,9.837112432,-2.002097169,,,,,,,
132.9210518,0.0001,10.57690568,10.39278029,-1.740824699,,,,,,,
131.7171969,0.0001,11.14612804,11.22618943,0.718288762,,,,,,,
130.8306687,0.0001,11.74973632,11.93074022,1.540493274,,,,,,,
129.761393,0.0001,12.33645973,12.9078199,4.631475965,,,,,,,
